Year,region_name,Region,Number of Enrollees,Number of Schools,DepEd Budget,Budget_Enrollees,Budget_Schools,Mimaropa,National Capital Region (NCR),Region I - Ilocos,Region II - Cagayan Valley,Region III - Central Luzon,Region IVA - Calabarzon,Region IX - Zamboanga Peninsula,Region V - Bicol,Region VI - Western Visayas,Region VII - Central Visayas,Region VIII - Eastern Visayas,Region X - Nothern Mindanao,Region XI - Davao,Region XII - Soccsksargen,Region XIII - Caraga,Cluster,Cluster(Discrete),PC1,PC2,PC3
2021,Davao,Region XI - Davao,1395893,519,25506891000,18272.81246,49146225.43,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1,1,-0.38420642101434543,-1.2979625026668302,-0.25005664168029407
2022,Davao,Region XI - Davao,1243944,574,27334323000,21973.91764,47620771.78,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1,1,-0.5214243217204755,-0.35182871289263484,-0.27407730971800864
2023,Davao,Region XI - Davao,1347074,603,30316227000,22505.24247,50275666.67,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1,1,-0.2849284690865602,0.2775909411829625,-0.13373155910406864
2024,Davao,Region XI - Davao,1269160,621,31406890000,24746.20221,50574702.09,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1,1,-0.3782938584046096,1.0147131973159194,0.007068656624885817
2020,Soccsksargen,Region XII - Soccsksargen,1258194,579,22175158000,17624.59366,38299063.9,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1,1,-0.6046650617518119,-1.7787024202982538,-0.9438414841210448
2021,Soccsksargen,Region XII - Soccsksargen,1190617,559,22997611000,19315.70858,41140627.91,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1,1,-0.7115955540976774,-1.1623590830501689,-0.6020450339269732
2022,Soccsksargen,Region XII - Soccsksargen,1056352,598,24486559000,23180.30259,40947423.08,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1,1,-0.8677792041003447,-0.23882690066635306,-0.5276302848163903
2023,Soccsksargen,Region XII - Soccsksargen,1142928,620,26886393000,23524.13538,43365150.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1,1,-0.673752899317835,0.3534499762842619,-0.37074842929218543
2024,Soccsksargen,Region XII - Soccsksargen,862819,646,27895837000,32331.04162,43182410.22,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1,1,-1.193447434539592,1.6763138596012828,-0.17519243434858164
2020,Caraga,Region XIII - Caraga,781551,423,16286972000,20839.2952,38503479.91,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1,1,-1.5983848492692352,-1.847996315667106,-0.32154288091590505
2021,Caraga,Region XIII - Caraga,801163,442,18361140000,22918.1078,41541040.72,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1,1,-1.5367572370599811,-1.1149024712070927,-0.11036651030139302
2022,Caraga,Region XIII - Caraga,737094,469,19726189000,26762.10768,42060104.48,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1,1,-1.6608680166994652,-0.22228328083396992,0.028006390662445896
2023,Caraga,Region XIII - Caraga,747540,473,21323618000,28525.05284,45081644.82,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1,1,-1.6388249285590781,0.44992126533544957,0.2888084980505433
2024,Caraga,Region XIII - Caraga,675712,478,22007766000,32569.74273,46041351.46,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1,1,-1.839025665522474,1.3091170641055883,0.5230645655120832
