Year,region_name,Region,DAR,DA,DENR,DOF,DOH,DHSUD,DICT,DOJ,DOLE,DPWH,DOST,DSWD,DILG,DTI,DOTr,NEDA,total,Population,GRDP,agri_land,agri_volume,poverty_population
2021,Davao,Region XI - Davao,370304000,1916547000,951114000,370800000,4545860000,23376000,27555000,336534000,238260000,17452730000,345455000,8850620000,665291000,511432000,145541000,154255000,36905674000,5371254,9.6714E+11,987662.51,5549341.19,900170
2022,Davao,Region XI - Davao,348659000,1404062000,1736239000,465746000,5470914000,40609000,23158000,341999000,341915000,14033177000,316205000,9210793000,661642000,596930000,145801000,157251000,35295100000,5451448,1.096E+12,994213.19,5644883.09,900170
2023,Davao,Region XI - Davao,389008000,2933921000,992385000,471992000,6395264000,67176000,14462000,339116000,589352000,9826605000,292216000,9259323000,654561000,180446000,162646000,176865000,32745338000,5531465,1.25505E+12,1001186.85,5648254.97,884830
2024,Davao,Region XI - Davao,395492000,3044665000,1051757000,585932000,6268092000,73996000,46948000,537421000,721007000,10198757000,282765000,10981320000,787942000,217622000,170229000,247855000,35611800000,5611525,1.37665E+12,1008781.12,5607026.82,884830
2020,Soccsksargen,Region XII - Soccsksargen,504125000,1654268000,725299000,223407000,1121223000,0,18933000,32587000,207630000,9623728000,237203000,8147956000,581919000,328386000,111862000,147470000,23665996000,4919936,4.67335E+11,1790392.85,7428640.97,1219920
2021,Soccsksargen,Region XII - Soccsksargen,537731000,2547442000,872864000,261578000,1240300000,13307000,48452000,26999000,227681000,9909525000,276517000,8080544000,589252000,366162000,118540000,152873000,25269767000,4985878,5.03889E+11,1834084.01,7516629.65,1276130
2022,Soccsksargen,Region XII - Soccsksargen,516384000,1825068000,946482000,285574000,1523799000,18259000,15342000,25111000,234725000,10258570000,272995000,7716766000,537058000,513380000,121631000,166696000,24977840000,5048327,5.643E+11,1787107.05,7354025.72,1276130
2023,Soccsksargen,Region XII - Soccsksargen,579282000,3044046000,923679000,301947000,2079052000,49655000,15424000,23377000,495377000,9529540000,285685000,7444730000,599426000,142458000,137535000,168975000,25820188000,5107296,6.20379E+11,1792059.98,7359601.57,1057220
2024,Soccsksargen,Region XII - Soccsksargen,577378000,4201784000,962881000,376861000,2342307000,55405000,43256000,24704000,570981000,7713872000,309180000,9231917000,652862000,160786000,151154000,182702000,27558030000,5162940,6.75618E+11,1751908.78,7085711.65,1057220
2020,Caraga,Region XIII - Caraga,339096000,1350677000,1247357000,193682000,960316000,0,24686000,29050000,129367000,8240594000,238093000,6056804000,565349000,321196000,93932000,135393000,19925592000,2753109,2.92575E+11,631835.06,2928289.58,822180
2021,Caraga,Region XIII - Caraga,358896000,1325800000,1331075000,232834000,1091270000,14368000,13413000,30286000,150320000,7303964000,305361000,5852512000,586962000,457824000,97292000,134590000,19286767000,2782218,3.31856E+11,608686.83,2806299.67,923520
2022,Caraga,Region XIII - Caraga,336498000,1071488000,1398840000,266049000,1224188000,16343000,19930000,27998000,163940000,7313004000,258942000,6235151000,602100000,421380000,112166000,147220000,19615237000,2810426,3.76844E+11,609165.36,2677867.01,923520
2023,Caraga,Region XIII - Caraga,366743000,1814051000,1329119000,274420000,1599040000,40099000,16535000,28259000,360963000,7430522000,276696000,6647888000,633232000,153406000,122731000,152552000,21246256000,2837738,4.06455E+11,629775.08,2707873.95,589610
2024,Caraga,Region XIII - Caraga,352409000,2679100000,1251390000,441885000,1795189000,44659000,19721000,29576000,400604000,6804370000,282801000,7765872000,647755000,353509000,153729000,173429000,23195998000,2864204,4.39147E+11,627093.11,2803361.2,589610
