REGION,region_name,YEAR,DAR,DA,DENR,DOF,DOH,DHSUD,DICT,DOJ,DOLE,DPWH,DOST,DSWD,DILG,DTI,DOTr,NEDA,total,Population,GRDP,agri_land,agri_volume,poverty_population
12,Soccsksargen,2021,537731000.00,2547442000.00,872864000.00,261578000.00,1240300000.00,13307000.00,48452000.00,26999000.00,227681000.00,9909525000.00,276517000.00,8080544000.00,589252000.00,366162000.00,118540000.00,152873000.00,25269767000.00,4985878.00,503888631000.00,1834084.01,7516629.65,1276130.00
13,Metro Manila,2021,0.00,4972408000.00,1589670000.00,2878072000.00,17937382000.00,43974000.00,25019000.00,3070526000.00,881109000.00,25892401000.00,767243000.00,10620448000.00,47642909000.00,303222000.00,483714000.00,180801000.00,117288898000.00,13966223.00,6157504616000.00,,,482480.00
14,Cordillera Administrative Region,2021,272737000.00,2352071000.00,1014048000.00,255362000.00,2273912000.00,17916000.00,25445000.00,29582000.00,197075000.00,15742146000.00,292971000.00,2304933000.00,637987000.00,366107000.00,81371000.00,151970000.00,26015633000.00,1822719.00,323883881000.00,335688.54,1197040.88,180710.00
16,Caraga,2021,358896000.00,1325800000.00,1331075000.00,232834000.00,1091270000.00,14368000.00,13413000.00,30286000.00,150320000.00,7303964000.00,305361000.00,5852512000.00,586962000.00,457824000.00,97292000.00,134590000.00,19286767000.00,2782218.00,331856215000.00,608686.83,2806299.67,923520.00
17,Mimaropa,2021,268410000.00,2728971000.00,1021594000.00,8687000.00,772636000.00,18588000.00,14433000.00,285588000.00,97836000.00,13142137000.00,257807000.00,6245103000.00,524074000.00,354058000.00,66945000.00,124912000.00,25931779000.00,3212211.00,382709950000.00,897471.40,4666354.41,667860.00
1,Ilocos Region,2020,221254000.00,1904943000.00,887724000.00,306162000.00,2726202000.00,0.00,19693000.00,47406000.00,143478000.00,12779123000.00,229702000.00,6443064000.00,695009000.00,359046000.00,147716000.00,138114000.00,27048636000.00,5270807.00,597917300000.00,1020473.90,5200114.19,510140.00
2,Cagayan Valley,2020,334552000.00,2310928000.00,1017001000.00,203543000.00,2462329000.00,0.00,21155000.00,37646000.00,166364000.00,12857679000.00,332683000.00,4268419000.00,615919000.00,377044000.00,104854000.00,123727000.00,25233843000.00,3657741.00,367331248000.00,2071837.21,9218709.04,582980.00
3,Central Luzon,2020,384054000.00,2692072000.00,1092488000.00,475398000.00,3574500000.00,22316000.00,30776000.00,66772000.00,302509000.00,23755257000.00,289967000.00,8352923000.00,877445000.00,518384000.00,213343000.00,173287000.00,42821491000.00,12313718.00,1864111182000.00,1557527.11,8390764.92,836560.00
4,Calabarzon,2020,357239000.00,2428848000.00,941650000.00,631271000.00,1768634000.00,40565000.00,27693000.00,71950000.00,280857000.00,25545321000.00,369001000.00,10400967000.00,888104000.00,543944000.00,281701000.00,188693000.00,44766438000.00,16057299.00,2565120461000.00,805253.08,4157053.08,1102030.00
5,Bicol Region,2020,650711000.00,2067053000.00,916086000.00,266872000.00,2196546000.00,15503000.00,17086000.00,49061000.00,198667000.00,20430811000.00,281362000.00,11355050000.00,836423000.00,492787000.00,128234000.00,148849000.00,40051101000.00,6133836.00,516847516000.00,1409109.75,5722955.23,1620970.00
